1|Sitz der Vollkommenheit|Совершенная поза|Upright seat with the heels arranged along the body's midline and the feet tucked between thighs and calves. The Russian text specifies the right hand over the left, both palms upward, in the lap.|Aufrechter Sitz mit den Fersen an der Körpermittellinie und den Füßen zwischen Oberschenkeln und Waden. Der russische Text beschreibt die rechte Hand über der linken, beide Handflächen nach oben im Schoß.|Вертикальный сед: пятки расположены по средней линии тела, стопы убраны между бёдрами и икрами. В русском тексте указано положение правой кисти поверх левой, обеими ладонями вверх, в области таза.|palm_stack|tucked_feet|stacked|5,8
2|Lotussitz|Поза лотоса|Each foot rests high on the opposite thigh, with the heels drawn toward the lower abdomen. In the selected plate the hands overlap in the lap, palms upward; other plates show different hand positions.|Jeder Fuß liegt hoch auf dem gegenüberliegenden Oberschenkel; die Fersen sind zum Unterbauch gezogen. Im ausgewählten Bild liegen die Hände mit nach oben gerichteten Handflächen übereinander im Schoß; andere Bilder zeigen weitere Handstellungen.|Каждая стопа лежит высоко на противоположном бедре, пятки приближены к нижней части живота. На выбранной фотографии кисти лежат одна на другой ладонями вверх; на других иллюстрациях показаны иные положения рук.|palm_stack|lotus_height|stacked|2,3,4
3|Kniender Fersensitz|Благоприятная поза на коленях|Kneeling with the pelvis over the heels. The selected side photograph shows the hands lowered behind the hips; the Russian section also describes hands on the thighs and separate toe-holding variants. These should not be merged into one hand position.|Kniestand mit dem Becken über den Fersen. Die ausgewählte Seitenaufnahme zeigt die Hände hinter der Hüfte abgesenkt; der russische Abschnitt beschreibt auch Hände auf den Oberschenkeln und gesonderte Zehengriff-Varianten. Diese Stellungen dürfen nicht zu einer Handposition vermischt werden.|Сед на пятках. На выбранной боковой фотографии кисти опущены позади таза; русский текст также описывает руки на бёдрах и отдельные варианты захвата пальцев ног. Эти положения рук не следует объединять в одно.|palm_orientation,variant_conflict|heel_contact|obscured|1,3,4
4|Freier Sitz|Свободная поза|The heels are stacked low at the centre of the pelvis, with the feet concealed by the folded legs. The selected photograph shows the hands resting at the knees; the text also allows the hands to overlap.|Die Fersen liegen tief übereinander in der Beckenmitte; die Füße sind zwischen den angewinkelten Beinen verborgen. Im ausgewählten Foto ruhen die Hände an den Knien; der Text nennt auch übereinanderliegende Hände.|Пятки расположены низко одна над другой по центру таза, стопы скрыты между согнутыми ногами. На выбранной фотографии кисти лежат у коленей; текст также допускает положение кистей одна на другой.|knee_hand_surface|heel_stack|unclear|1,2
5|Diamantsitz|Поза алмаза|The knees rest on the ground and the pelvis sits over the heels. The text describes the big toes and heels together. Hands rest on the thighs toward the knees, with fingers directed down along the knee contours.|Die Knie liegen am Boden, das Becken ruht über den Fersen. Laut Text liegen große Zehen und Fersen zusammen. Die Hände ruhen auf den Oberschenkeln nahe den Knien; die Finger folgen den Kniekonturen nach unten.|Колени находятся на полу, таз — над пятками. В тексте указано, что большие пальцы ног и пятки соединены. Кисти лежат на бёдрах у коленей, пальцы направлены вниз вдоль их контуров.|knee_hand_surface|feet_together|extended|1
6|Glückverheißender Sitz|Благоприятный скрещённый сед|The feet are tucked into the opposite thigh–calf folds, with both knees lowered. The selected photograph shows open hands at the knees and curved thumb–index areas; the small finger contacts are not sharply resolved.|Die Füße sind in den Falten zwischen gegenüberliegendem Oberschenkel und Wade verborgen, beide Knie abgesenkt. Das Foto zeigt offene Hände an den Knien und gekrümmte Daumen-Zeigefinger-Bereiche; die genauen Fingerkontakte sind nicht scharf erkennbar.|Стопы убраны в складки между противоположными бёдрами и икрами, оба колена опущены. На фотографии кисти раскрыты у коленей, большой и указательный пальцы согнуты; точные контакты пальцев различимы недостаточно чётко.|palm_orientation|tucked_feet|gesture_unclear|2,3
7|Löwensitz|Поза льва|A squat supported on the toes, with raised heels together and knees apart. The selected picture shows the fingers curving down around the knees; the text also permits overlapping hands.|Hocke auf den Zehen, mit angehobenen, aneinanderliegenden Fersen und geöffneten Knien. Im Foto umfassen die Finger die Knie nach unten; der Text erlaubt auch übereinanderliegende Hände.|Присед с опорой на пальцы ног, поднятыми соединёнными пятками и разведёнными коленями. На фото пальцы кистей огибают колени вниз; текст допускает также сложенные кисти.|knee_hand_surface|toe_support,heel_height|curved|1,2,3
8|Kuhgesicht|Поза коровьей головы|The knees overlap, with folded feet beside and beneath the pelvis. One arm reaches down behind the shoulder and the other up the back; the text specifies eight interlocked fingers. A second plate reverses the sides.|Die Knie liegen übereinander, die Füße neben und unter dem Becken. Ein Arm greift hinter der Schulter nach unten, der andere am Rücken nach oben; laut Text verschränken sich acht Finger. Ein weiteres Bild zeigt die Gegenseite.|Колени расположены одно над другим, согнутые стопы — сбоку и под тазом. Одна рука направлена за плечом вниз, другая за спиной вверх; текст указывает сцепление восьми пальцев. Другой снимок показывает смену сторон.|back_clasp|heel_contact|interlocked|1,2
9|Heldenausfallschritt|Поза героя в выпаде|The front foot is flat and the rear instep lies on the floor, toes pointing backward. The front arm extends at shoulder height; the other fist rests near the navel. The text specifies thumbs enclosed inside both fists.|Der vordere Fuß steht flach, der hintere Fußrücken liegt am Boden, die Zehen zeigen zurück. Der vordere Arm ist auf Schulterhöhe gestreckt; die andere Faust liegt am Nabel. Laut Text sind beide Daumen in den Fäusten eingeschlossen.|Передняя стопа стоит полностью на полу, задняя лежит на подъёме пальцами назад. Передняя рука вытянута на уровне плеча, другой кулак находится у пупка. По тексту большие пальцы зажаты внутри обоих кулаков.|fist_missing,rear_hand_waist|rear_instep|fist_thumb_inside|2
10|Bogen mit Beinen über dem Kopf|Поза лука с ногами за головой|From a supine position the straight legs pass overhead. The arms extend along the floor to hold both big toes, with straight elbows and the feet together, as specified in the text.|Aus der Rückenlage führen die gestreckten Beine über den Kopf. Die Arme reichen am Boden zu beiden großen Zehen und halten sie; laut Text bleiben Ellenbogen gestreckt und Füße zusammen.|Из положения на спине прямые ноги заведены за голову. Руки вытянуты вдоль пола и удерживают оба больших пальца ног; по тексту локти выпрямлены, стопы соединены.|toe_grip_missing,elbow_path|overhead_toe_contact,feet_together|toe_grip|1,2
11|Ruhestellung|Поза покоя|Supine, with the heels touching and the toes turned outward as the text specifies. Arms lie beside the body, palms upward, with relaxed fingers.|Rückenlage mit sich berührenden Fersen und nach außen fallenden Zehen, wie im Text beschrieben. Die Arme liegen neben dem Körper, Handflächen nach oben, Finger entspannt.|Лёжа на спине: пятки соприкасаются, носки развёрнуты наружу, как указано в тексте. Руки лежат вдоль тела ладонями вверх, пальцы расслаблены.|palm_orientation|heels_together_outturn|relaxed|1
