palm_stack|The layered palms and their contact in the lap remain approximate.|Die übereinanderliegenden Handflächen und ihr Kontakt im Schoß bleiben ungenau.|Положение ладоней одна над другой и их контакт у таза остаются приблизительными.
tucked_feet|The feet are exposed or displaced instead of tucked into the leg folds shown in the source.|Die Füße sind sichtbar oder verschoben, statt wie in der Quelle in den Beinfalten zu liegen.|Стопы открыты или смещены вместо положения в складках ног, показанного в источнике.
lotus_height|The lotus feet sit too low or lack the required contact high on the opposite thighs.|Die Lotusfüße liegen zu tief oder haben keinen passenden Kontakt hoch auf den gegenüberliegenden Oberschenkeln.|Стопы лотоса расположены слишком низко или не имеют нужного контакта высоко на противоположных бёдрах.
palm_orientation|The modeled palm rotation does not reproduce the orientation shown in the selected source.|Die Drehung der modellierten Handflächen entspricht nicht der ausgewählten Quelle.|Разворот ладоней модели не соответствует выбранному источнику.
variant_conflict|The section contains different positions or stages; one model does not represent all of them.|Der Abschnitt enthält verschiedene Stellungen oder Phasen; ein Modell bildet nicht alle ab.|Раздел содержит разные положения или стадии; одна модель не представляет их все.
heel_contact|Heel contact with the floor, pelvis or folded leg needs adjustment to the source description.|Der Fersenkontakt mit Boden, Becken oder gefaltetem Bein muss der Quellenbeschreibung angepasst werden.|Контакт пятки с полом, тазом или согнутой ногой требует уточнения по описанию источника.
knee_hand_surface|The rigid hands do not follow or wrap the knee surface as shown.|Die starren Hände folgen oder umfassen die Knieoberfläche nicht wie gezeigt.|Жёсткие кисти не следуют поверхности коленей и не охватывают её, как показано.
heel_stack|The heels do not reproduce the stacked arrangement beneath the pelvis.|Die Fersen bilden die übereinanderliegende Anordnung unter dem Becken nicht nach.|Пятки не воспроизводят положение одна над другой под тазом.
feet_together|The modeled feet are separated where the source brings them together.|Die modellierten Füße sind getrennt, obwohl die Quelle sie zusammenführt.|Стопы модели разделены там, где источник соединяет их.
toe_support|The forefoot and bent-toe support is not reproduced by the current foot shape and angle.|Vorfuß- und gebeugter Zehenstütz werden durch die aktuelle Fußform und den Winkel nicht nachgebildet.|Опора на переднюю часть стопы и согнутые пальцы не воспроизведена текущей формой и углом стопы.
heel_height|The heel height differs from the source's raised or lowered heel position.|Die Fersenhöhe weicht von der in der Quelle angehobenen oder abgesenkten Stellung ab.|Высота пятки отличается от поднятого или опущенного положения в источнике.
back_clasp|The arms and hands do not complete the required contact behind the back.|Arme und Hände vollenden den erforderlichen Kontakt hinter dem Rücken nicht.|Руки и кисти не образуют требуемый контакт за спиной.
fist_missing|The source requires a closed fist; the model keeps an open, rigid hand.|Die Quelle verlangt eine geschlossene Faust; das Modell behält eine offene, starre Hand.|Источник требует сжатого кулака; у модели кисть остаётся раскрытой и жёсткой.
rear_hand_waist|The rear hand does not reach the specified position near the waist or navel.|Die hintere Hand erreicht die vorgegebene Stellung nahe Taille oder Nabel nicht.|Задняя кисть не достигает заданного положения у талии или пупка.
rear_instep|The rear foot does not reproduce the instep-down, toes-back contact.|Der hintere Fuß bildet Fußrückenstütz mit nach hinten gerichteten Zehen nicht nach.|Задняя стопа не воспроизводит опору на подъём с пальцами назад.
toe_grip_missing|The hand does not close around the required toe or toes; touching with a flat hand is insufficient.|Die Hand schließt sich nicht um die erforderlichen Zehen; eine Berührung mit flacher Hand reicht nicht aus.|Кисть не охватывает нужный палец или пальцы ноги; касания плоской кистью недостаточно.
